調査年,地域,/項目,M1001_1次活動の平均時間（10歳以上）（男）【分】,M100100_1次活動の平均時間（15歳以上）（男）【分】,M100110_1次活動の平均時間（15～24歳）（男）【分】,M100120_1次活動の平均時間（25～34歳）（男）【分】,M100130_1次活動の平均時間（35～44歳）（男）【分】,M100140_1次活動の平均時間（45～54歳）（男）【分】,M100150_1次活動の平均時間（55～64歳）（男）【分】,M100160_1次活動の平均時間（65～74歳）（男）【分】,M100170_1次活動の平均時間（75歳以上）（男）【分】,M1002_1次活動の平均時間（10歳以上）（女）【分】,M100200_1次活動の平均時間（15歳以上）（女）【分】,M100210_1次活動の平均時間（15～24歳）（女）【分】,M100220_1次活動の平均時間（25～34歳）（女）【分】,M100230_1次活動の平均時間（35～44歳）（女）【分】,M100240_1次活動の平均時間（45～54歳）（女）【分】,M100250_1次活動の平均時間（55～64歳）（女）【分】,M100260_1次活動の平均時間（65～74歳）（女）【分】,M100270_1次活動の平均時間（75歳以上）（女）【分】
2021年度,千葉県,,647,646,641,617,616,621,633,679,727,664,663,674,671,654,615,628,660,741
2016年度,千葉県,,628,626,604,605,583,607,613,669,727,647,646,644,651,612,612,611,672,725
2011年度,千葉県,,624,622,615,588,585,578,631,679,735,642,640,629,631,623,590,623,661,748
2006年度,千葉県,,625,622,602,601,594,584,634,684,738,636,635,623,638,600,577,625,680,755
2001年度,千葉県,,626,624,618,592,598,610,632,690,746,640,638,632,628,607,593,641,691,763
1996年度,千葉県,,621,618,620,595,586,612,624,689,727,640,639,636,639,595,608,640,691,782
1991年度,千葉県,,,615,596,590,596,610,636,702,766,,627,629,614,595,607,635,691,739
1986年度,千葉県,,,614,594,,,,,,,,627,616,,,,,,
1981年度,千葉県,,,631,621,,,,,,,,642,641,,,,,,
1976年度,千葉県,,,633,,,,,,,,,642,,,,,,,
